target,x_feature_relevance,y_performance,spearman,n_tasks,expected_direction
RUL,feature_quality_score,performance_score,0.5483889725249651,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,mean_abs_corr,mean_mae,0.14821323581755813,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,mean_abs_corr,mean_mape,0.2031393173264179,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,mean_abs_corr,mean_rmse,0.1560598188902524,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,mean_abs_corr,mean_r2,-0.07497846047241175,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,mean_abs_corr,mean_pearson_r,-0.11682690352678111,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,mean_abs_corr,performance_score,-0.14830999128590971,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,median_abs_corr,mean_mae,0.2345256496171949,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,median_abs_corr,mean_mape,0.3060167398350759,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,median_abs_corr,mean_rmse,0.24673144550805268,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,median_abs_corr,mean_r2,0.07497846047241175,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,median_abs_corr,mean_pearson_r,-0.020924221527184678,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,median_abs_corr,performance_score,-0.11036008175098576,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,max_abs_corr,mean_mae,-0.5867500453248037,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,max_abs_corr,mean_mape,-0.34873702545307794,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,max_abs_corr,mean_rmse,-0.5492608150885978,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,max_abs_corr,mean_r2,0.47079498436165523,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,max_abs_corr,mean_pearson_r,0.6878837827061962,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,max_abs_corr,performance_score,0.6599794612222982,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,top3_abs_corr,mean_mae,-0.11333953327225034,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,top3_abs_corr,mean_mape,0.10462110763592339,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,top3_abs_corr,mean_rmse,-0.04533581330890013,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,top3_abs_corr,mean_r2,0.18831799374466207,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,top3_abs_corr,mean_pearson_r,0.04882318356343092,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,top3_abs_corr,performance_score,0.10338078804341354,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,strong_feature_fraction,mean_mae,0.023195248144550273,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,strong_feature_fraction,mean_mape,0.20350547900407315,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,strong_feature_fraction,mean_rmse,0.07089868300787065,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,strong_feature_fraction,mean_r2,0.06520928251958473,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,strong_feature_fraction,mean_pearson_r,-0.06520928251958473,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,strong_feature_fraction,performance_score,-0.045982848697405806,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,very_strong_feature_fraction,mean_mae,-0.4696310889238429,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,very_strong_feature_fraction,mean_mape,-0.15250385898387156,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,very_strong_feature_fraction,mean_rmse,-0.44135222765531046,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,very_strong_feature_fraction,mean_r2,0.5761817983463492,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,very_strong_feature_fraction,mean_pearson_r,0.7968579121740045,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,very_strong_feature_fraction,performance_score,0.6394689477498939,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,feature_quality_score,mean_mae,-0.08544057123600411,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,feature_quality_score,mean_mape,0.11072400558135224,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,feature_quality_score,mean_rmse,-0.04795134099979822,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,feature_quality_score,mean_r2,0.09939005225412721,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,feature_quality_score,mean_pearson_r,0.03836107279983857,24,误差指标期望负相关；质量指标和performance_score期望正相关
SOH,feature_quality_score,performance_score,0.0697929370757222,24,误差指标期望负相关；质量指标和performance_score期望正相关
